"Domain","URL","Branch","Agency","State","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"gemeinde-rossbach.de","http://www.gemeinde-rossbach.de","","Roßbach","BY","No","No","","","",""
"niederwerth.de","http://niederwerth.de","","Niederwerth","RP","No","No","","","",""
"lissendorf.de","http://lissendorf.de","","Lissendorf","RP","No","No","","","",""
"anklam.de","http://anklam.de","","Anklam","MV","No","No","","","",""
"nordhalben.de","http://nordhalben.de","","Nordhalben","BY","No","No","","","",""
"nerdlen.de","http://nerdlen.de","","Nerdlen","RP","No","No","","","",""
"langenweissbach.de","http://www.langenweissbach.de","","Langenweißbach","SN","No","No","","","",""
"blankenburg.de","http://www.blankenburg.de","","Blankenburg","ST","No","No","","","",""
"finningen.de","http://www.finningen.de","","Finningen","BY","No","No","","","",""
"anderlingen.de","http://anderlingen.de","","Anderlingen","NI","No","No","","","",""
"waldbrunn.de","http://www.waldbrunn.de","","Waldbrunn (Westerwald)","HE","Yes","No","","","",""
"kirn.de","http://www.kirn.de","","Kirn","RP","No","No","","","",""
"wittstock.de","https://www.wittstock.de","","Wittstock/Dosse","BB","No","Yes","Yes","Yes","",""
"bodenfelde.de","http://www.bodenfelde.de","","Bodenfelde","NI","No","No","","","",""
"oberpoering.de","http://oberpoering.de","","Oberpöring","BY","No","No","","","",""
"sontheim.de","http://sontheim.de","","Sontheim","BY","No","No","","","",""
"ostritz.de","http://www.ostritz.de","","Ostritz","SN","No","No","","","",""
"harsewinkel.de","http://www.harsewinkel.de","","Harsewinkel","NW","No","No","","","",""
"braunlage.de","http://www.braunlage.de","","Braunlage","NI","No","No","","","",""
"kerpen-eifel.de","http://kerpen-eifel.de","","Kerpen","RP","No","No","","","",""
"emlichheim.de","http://www.emlichheim.de","","Ringe","NI","No","No","","","",""
"gemeinde-foehren.de","http://gemeinde-foehren.de","","Föhren","RP","No","No","","","",""
"holste.de","http://www.holste.de","","Holste","NI","No","No","","","",""
"steinenbronn.de","http://www.steinenbronn.de","","Steinenbronn","BW","No","No","","","",""
"wolkramshausen.de","http://wolkramshausen.de","","Wolkramshausen","TH","No","No","","","",""
"achslach.de","http://www.achslach.de","","Achslach","BY","No","No","","","",""
"eichstaett.de","http://www.eichstaett.de","","Eichstätt","BY","No","No","","","",""
"tautenburg.de","http://tautenburg.de","","Tautenburg","TH","No","No","","","",""
"betteldorf.de","http://betteldorf.de","","Betteldorf","RP","No","No","","","",""
"mitterskirchen.de","http://mitterskirchen.de","","Mitterskirchen","BY","No","No","","","",""
"achstetten.de","http://achstetten.de","","Achstetten","BW","No","No","","","",""
"hoesbach.de","http://www.hoesbach.de","","Hösbach","BY","No","No","","","",""
"calbe.de","http://www.calbe.de","","Calbe","ST","No","No","","","",""
"versmold.de","http://www.versmold.de","","Versmold","NW","No","Yes","No","No","",""
"heinrichsthal.de","http://www.heinrichsthal.de","","Heinrichsthal","BY","No","No","","","",""
"altenstadt-waldnaab.de","http://www.altenstadt-waldnaab.de","","Altenstadt an der Waldnaab","BY","No","No","","","",""
"karbach.de","http://www.karbach.de","","Karbach","BY","No","No","","","",""
"vg-kindelbrueck.de","http://www.vg-kindelbrueck.de","","Kannawurf","TH","No","No","","","",""
"hohentengen.de","http://hohentengen.de","","Hohentengen am Hochrhein","BW","No","No","","","",""
"berngau.de","http://www.berngau.de","","Berngau","BY","No","No","","","",""
"bopfingen.de","http://www.bopfingen.de","","Bopfingen","BW","No","No","","","",""
"bruchweiler.de","http://bruchweiler.de","","Bruchweiler","RP","No","No","","","",""
"weroth.de","http://weroth.de","","Weroth","RP","No","No","","","",""
"auerbach-erzgebirge.de","http://www.auerbach-erzgebirge.de","","Auerbach","SN","Yes","No","","","",""
"norstedt.de","https://norstedt.de","","Norstedt","SH","No","Yes","Yes","No","",""
"gemeinde-mandel.de","http://www.gemeinde-mandel.de","","Mandel","RP","No","No","","","",""
"amt-am-stettiner-haff.de","http://www.amt-am-stettiner-haff.de","","Mönkebude","MV","No","No","","","",""
"berg-opf.de","http://berg-opf.de","","Berg bei Neumarkt in der Oberpfalz","BY","No","No","","","",""
"hude.de","http://hude.de","","Hude","NI","No","No","","","",""
"fichtenberg.de","http://www.fichtenberg.de","","Fichtenberg","BW","No","No","","","",""
"lehesten.de","http://lehesten.de","","Lehesten","TH","No","No","","","",""
"haehnichen.de","http://www.haehnichen.de","","Hähnichen","SN","Yes","No","","","",""
"lra-mue.de","http://www.lra-mue.de","","Polling","BY","No","No","","","",""
"dietramszell.de","http://dietramszell.de","","Dietramszell","BY","No","No","","","",""
"ringelai.de","http://www.ringelai.de","","Ringelai","BY","No","No","","","",""
"neunkirchen-am-sand.de","http://neunkirchen-am-sand.de","","Neunkirchen am Sand","BY","No","No","","","",""
"vg-wonnegau.de","http://vg-wonnegau.de","","Frettenheim","RP","No","Yes","No","No","",""
"wiedensahl.de","http://wiedensahl.de","","Wiedensahl","NI","No","No","","","",""
"prem-am-lech.de","https://prem-am-lech.de","","Prem","BY","No","Yes","Yes","No","",""
"schoenbach-eifel.de","http://www.schoenbach-eifel.de","","Schönbach","RP","No","No","","","",""
"bueddenstedt.de","http://bueddenstedt.de","","Büddenstedt","NI","No","No","","","",""
"weilar.de","http://weilar.de","","Weilar","TH","No","No","","","",""
"riedenheim.de","http://www.riedenheim.de","","Riedenheim","BY","No","No","","","",""
"moeglingen.de","http://www.moeglingen.de","","Möglingen","BW","No","No","","","",""
"elsfleth.de","https://elsfleth.de","","Elsfleth","NI","No","Yes","Yes","No","",""
"gemeinde-kollig.de","http://gemeinde-kollig.de","","Kollig","RP","No","No","","","",""
"spenge.de","http://www.spenge.de","","Spenge","NW","No","No","","","",""
"voelkersweiler.de","http://voelkersweiler.de","","Völkersweiler","RP","No","No","","","",""
"freudental.de","http://freudental.de","","Freudental","BW","No","No","","","",""
"mansfeld.eu","http://www.mansfeld.eu","","Mansfeld","ST","No","Yes","No","No","",""
"muenchwald.de","http://www.muenchwald.de","","Münchwald","RP","No","No","","","",""
"blaubach.de","http://blaubach.de","","Blaubach","RP","No","No","","","",""
"bad-boll.de","http://www.bad-boll.de","","Bad Boll","BW","No","No","","","",""
"lauterhofen.de","http://www.lauterhofen.de","","Lauterhofen","BY","No","No","","","",""
"gemeinde-steinwenden.de","http://gemeinde-steinwenden.de","","Steinwenden","RP","No","No","","","",""
"nittenau.de","http://www.nittenau.de","","Nittenau","BY","No","No","","","",""
"altusried.de","http://www.altusried.de","","Altusried","BY","No","No","","","",""
"schieder-schwalenberg.de","http://www.schieder-schwalenberg.de","","Schieder-Schwalenberg","NW","No","No","","","",""
"kastl.de","http://www.kastl.de","","Kastl","BY","No","No","","","",""
"gemeinde-lindau.de","http://gemeinde-lindau.de","","Lindau","SH","No","No","","","",""
"ochsenfurt.de","http://ochsenfurt.de","","Ochsenfurt","BY","No","No","","","",""
"gemeinde-linden.de","http://gemeinde-linden.de","","Linden","RP","No","No","","","",""
"deisenhausen.de","http://www.deisenhausen.de","","Deisenhausen","BY","No","No","","","",""
"unterkirnach.de","http://www.unterkirnach.de","","Unterkirnach","BW","No","No","","","",""
"langen.de","https://www.langen.de","","Langen (Hessen)","HE","No","Yes","Yes","No","",""
"stadt-schoemberg.de","http://www.stadt-schoemberg.de","","Schömberg","BW","No","No","","","",""
"stromberg.de","http://www.stromberg.de","","Eckenroth","RP","No","No","","","",""
"gemeinde-buchdorf.de","http://gemeinde-buchdorf.de","","Buchdorf","BY","No","No","","","",""
"vg-hainleite.de","http://www.vg-hainleite.de","","Kleinfurra","TH","No","No","","","",""
"rastenberg.de","http://rastenberg.de","","Rastenberg","TH","No","No","","","",""
"didderse.de","http://www.didderse.de","","Didderse","NI","Yes","No","","","",""
"markt-oberstdorf.de","http://www.markt-oberstdorf.de","","Oberstdorf","BY","No","No","","","",""
"waldsieversdorf.info","http://waldsieversdorf.info","","Waldsieversdorf","BB","No","No","","","",""
"vg-arzfeld.de","http://vg-arzfeld.de","","Herzfeld","RP","No","No","","","",""
"kaltennordheim.de","http://www.kaltennordheim.de","","Kaltennordheim","TH","No","No","","","",""
"lossatal.eu","http://lossatal.eu","","Lossatal","SN","No","No","","","",""
"gemeinde-odderade.de","http://gemeinde-odderade.de","","Odderade","SH","No","No","","","",""
"waake.de","http://waake.de","","Waake","NI","No","No","","","",""
"leidenborn.de","http://leidenborn.de","","Leidenborn","RP","No","No","","","",""
"moetzingen.de","http://www.moetzingen.de","","Mötzingen","BW","No","No","","","",""
"ehrenkirchen.de","http://www.ehrenkirchen.de","","Ehrenkirchen","BW","No","No","","","",""
"niersbach-greverath.de","http://niersbach-greverath.de","","Niersbach","RP","No","No","","","",""
"huerup.de","http://huerup.de","","Hürup","SH","No","No","","","",""
"ottobeuren.de","http://ottobeuren.de","","Ottobeuren","BY","No","No","","","",""
"bruchhausen-vilsen.de","http://bruchhausen-vilsen.de","","Bruchhausen-Vilsen","NI","No","No","","","",""
"morschen.de","http://morschen.de","","Morschen","HE","No","No","","","",""
"luenebach.info","http://www.luenebach.info","","Lünebach","RP","No","No","","","",""
"weissenfels.de","http://www.weissenfels.de","","Weißenfels","ST","No","No","","","",""
"nittel-mosel.de","http://www.nittel-mosel.de","","Nittel","RP","No","No","","","",""
"flacht-aar.de","http://flacht-aar.de","","Flacht","RP","No","No","","","",""
"gleiszellen-gleishorbach.de","http://www.gleiszellen-gleishorbach.de","","Gleiszellen-Gleishorbach","RP","No","No","","","",""
"markt-schirnding.de","http://markt-schirnding.de","","Schirnding","BY","No","No","","","",""
"handeloh.de","http://www.handeloh.de","","Handeloh","NI","No","No","","","",""
"breitenheim.de","http://breitenheim.de","","Breitenheim","RP","No","No","","","",""
"altersbach.net","http://altersbach.net","","Altersbach","TH","No","No","","","",""
"saffig.de","http://saffig.de","","Saffig","RP","No","No","","","",""
"treis-karden.de","http://www.treis-karden.de","","Treis-Karden","RP","No","No","","","",""
"wieseth.de","http://wieseth.de","","Wieseth","BY","No","No","","","",""
"stadt-hofheim.de","http://www.stadt-hofheim.de","","Hofheim in Unterfranken","BY","No","No","","","",""
"sukow.de","http://sukow.de","","Sukow","MV","No","No","","","",""
"sarmersbach.de","http://sarmersbach.de","","Sarmersbach","RP","No","No","","","",""
"amt-woldegk.de","http://www.amt-woldegk.de","","Schönhausen","MV","Yes","No","","","",""
"oberaula.de","https://www.oberaula.de","","Oberaula","HE","No","Yes","Yes","Yes","",""
"ellwangen.de","http://www.ellwangen.de","","Ellwangen (Jagst)","BW","No","No","","","",""
"kuernbach.de","http://www.kuernbach.de","","Kürnbach","BW","No","No","","","",""
"reichenbach-steegen.de","http://reichenbach-steegen.de","","Reichenbach-Steegen","RP","No","Yes","No","No","",""
"muehlrosin.de","http://www.muehlrosin.de","","Mühl Rosin","MV","No","No","","","",""
"kellmuenz.de","http://www.kellmuenz.de","","Kellmünz an der Iller","BY","No","No","","","",""
"laubach-hunsrueck.de","http://www.laubach-hunsrueck.de","","Laubach","RP","No","No","","","",""
"bobenheim-roxheim.de","https://www.bobenheim-roxheim.de","","Bobenheim-Roxheim","RP","No","Yes","Yes","No","",""
"oberding.de","http://www.oberding.de","","Oberding","BY","Yes","No","","","",""
"schauenstein.de","http://www.schauenstein.de","","Schauenstein","BY","No","No","","","",""
"mittelbiberach.de","http://mittelbiberach.de","","Mittelbiberach","BW","No","No","","","",""
"gemeinde-inning.de","http://gemeinde-inning.de","","Inning am Holz","BY","No","No","","","",""
"heiligenroth.de","http://heiligenroth.de","","Heiligenroth","RP","No","No","","","",""
"marxzell.de","http://www.marxzell.de","","Marxzell","BW","No","No","","","",""
"utzenfeld.de","http://www.utzenfeld.de","","Utzenfeld","BW","No","No","","","",""
"nordhofen.de","http://nordhofen.de","","Nordhofen","RP","No","No","","","",""
"waidhofen.de","http://www.waidhofen.de","","Waidhofen","BY","Yes","No","","","",""
"weilbach.de","https://www.weilbach.de","","Weilbach","BY","No","Yes","Yes","No","",""
"rieden.com","http://www.rieden.com","","Rieden","BY","Yes","No","","","",""
