"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"a9digital.de","a9digital.de","http://a9digital.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"agrowetter.de","agrowetter.de","https://www.agrowetter.de","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"agrowetter.eu","agrowetter.eu","https://www.agrowetter.eu","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"aktionsplan-allergien.de","aktionsplan-allergien.de","http://aktionsplan-allergien.de","","Bundesamt für Verbraucherschutz und Lebensmittelsicherheit","","Yes","dotgov","No","No","No","","","","","","No"
"alpenflugwetter.com","alpenflugwetter.com","https://www.alpenflugwetter.com","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alpenflugwetter.de","alpenflugwetter.de","https://www.alpenflugwetter.de","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alpenflugwetter.eu","alpenflugwetter.eu","https://www.alpenflugwetter.eu","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"alpenwetter.eu","alpenwetter.eu","https://www.alpenwetter.eu","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"anticorruption.help","anticorruption.help","http://anticorruption.help","","Bundesverwaltungsamt","","Yes","dotgov","No","No","No","","","","","","No"
"arb-5.de","arb-5.de","http://arb-5.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeit-4-null.de","arbeit-4-null.de","http://arbeit-4-null.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeit-psyche.de","arbeit-psyche.de","http://arbeit-psyche.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitderzukunft.de","arbeitderzukunft.de","https://arbeitderzukunft.de","","Bundesministerium für Arbeit und Soziales","","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"arbeiten-4-0.de","arbeiten-4-0.de","http://arbeiten-4-0.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeiten4null.de","arbeiten4null.de","http://arbeiten4null.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeiten4punktnull.de","arbeiten4punktnull.de","http://arbeiten4punktnull.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitenbis67.de","arbeitenbis67.de","http://arbeitenbis67.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitenviernull.de","arbeitenviernull.de","http://www.arbeitenviernull.de","","Bundesministerium für Arbeit und Soziales","","No","dotgov","No","No","No","Yes","No","No","No","No","No"
"arbeitenvierpunktnull.de","arbeitenvierpunktnull.de","http://arbeitenvierpunktnull.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitsagentur.de","arbeitsagentur.de","https://www.arbeitsagentur.de","","Bundesagentur für Arbeit","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"arbeitsmarktreform.de","arbeitsmarktreform.de","http://arbeitsmarktreform.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitsministerium.eu","arbeitsministerium.eu","http://arbeitsministerium.eu","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitsschutz-forschung.de","arbeitsschutz-forschung.de","http://arbeitsschutz-forschung.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
"arbeitvierpunktnull.de","arbeitvierpunktnull.de","http://arbeitvierpunktnull.de","","Bundesministerium für Arbeit und Soziales","","Yes","dotgov","No","No","No","","","","","","No"
