"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"17498neuenkirchen.de","17498neuenkirchen.de","https://17498neuenkirchen.de","","Neuenkirchen","MV","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"84098-hohenthann.de","84098-hohenthann.de","http://84098-hohenthann.de","","Hohenthann","BY","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"95186-hoechstaedt.de","95186-hoechstaedt.de","http://www.95186-hoechstaedt.de","","Höchstädt im Fichtelgebirge","BY","No","dotgov","No","No","No","","","","","","No"
"a9digital.de","a9digital.de","http://a9digital.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"aach.de","aach.de","http://aach.de","","Aach","BW","No","dotgov","No","No","No","","","","","","No"
"aachen.de","aachen.de","http://aachen.de","","Aachen","NW","No","dotgov","No","No","No","","","","","","No"
"aalen.de","aalen.de","http://aalen.de","","Aalen","BW","No","dotgov","No","No","No","","","","","","No"
"aarbergen.de","aarbergen.de","https://www.aarbergen.de","","Aarbergen","HE","No","dotgov","No","Yes","No","","","","","","No"
"abenberg.de","abenberg.de","https://www.abenberg.de","","Abenberg","BY","No","dotgov","No","Yes","No","","","","","","No"
"abensberg.de","abensberg.de","https://www.abensberg.de","","Abensberg","BY","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"abentheuer.de","abentheuer.de","http://abentheuer.de","","Abentheuer","RP","No","dotgov","No","No","No","","","","","","No"
"absberg.de","absberg.de","https://absberg.de","","Absberg","BY","No","dotgov","No","Yes","No","","","","","","No"
"abstatt.de","abstatt.de","https://www.abstatt.de","","Abstatt","BW","No","dotgov","No","Yes","No","","","","","","No"
"abtsgmuend.de","abtsgmuend.de","https://www.abtsgmuend.de","","Abtsgmünd","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"abtsteinach.de","abtsteinach.de","https://www.abtsteinach.de","","Abtsteinach","HE","No","dotgov","No","Yes","No","","","","","","No"
"abtswind.de","abtswind.de","http://www.abtswind.de","","Abtswind","BY","No","dotgov","No","No","No","","","","","","No"
"abtweiler.de","abtweiler.de","http://www.abtweiler.de","","Abtweiler","RP","No","dotgov","No","No","No","","","","","","No"
"achberg.de","achberg.de","http://achberg.de","","Achberg","BW","No","dotgov","No","No","No","","","","","","No"
"achern.de","achern.de","https://www.achern.de","","Achern","BW","No","dotgov","No","Yes","No","","","","","","No"
"achim.de","achim.de","https://www.achim.de","","Achim","NI","No","dotgov","Yes","Yes","Yes","","","","","","No"
"achslach.de","achslach.de","http://www.achslach.de","","Achslach","BY","No","dotgov","No","No","No","","","","","","No"
"achstetten.de","achstetten.de","https://achstetten.de","","Achstetten","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"achterwehr.de","achterwehr.de","http://achterwehr.de","","Achterwehr","SH","No","dotgov","No","No","No","","","","","","No"
"achtrup.de","achtrup.de","http://achtrup.de","","Achtrup","SH","No","dotgov","No","No","No","","","","","","No"
"adelberg.de","adelberg.de","https://www.adelberg.de","","Adelberg","BW","No","dotgov","No","Yes","Yes","No","Yes","No","No","No","No"
"adelebsen.de","adelebsen.de","https://www.adelebsen.de","","Adelebsen","NI","No","dotgov","No","Yes","No","","","","","","No"
"adelmannsfelden.de","adelmannsfelden.de","https://www.adelmannsfelden.de","","Adelmannsfelden","BW","No","dotgov","No","Yes","No","","","","","","No"
"adelsdorf.de","adelsdorf.de","https://www.adelsdorf.de","","Adelsdorf","BY","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"adelsheim.de","adelsheim.de","https://www.adelsheim.de","","Adelsheim","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"adelshofen.de","adelshofen.de","https://www.adelshofen.de","","Adelshofen","BY","No","dotgov","No","Yes","No","","","","","","No"
"adelsried.de","adelsried.de","http://adelsried.de","","Adelsried","BY","No","dotgov","No","No","No","","","","","","No"
"adelzhausen.de","adelzhausen.de","https://www.adelzhausen.de","","Adelzhausen","BY","No","dotgov","No","Yes","No","","","","","","No"
"adenau.de","adenau.de","https://adenau.de","","Harscheid","RP","No","dotgov","No","Yes","No","","","","","","No"
"adenbuettel.de","adenbuettel.de","http://adenbuettel.de","","Adenbüttel","NI","Yes","dotgov","No","No","No","","","","","","No"
"adendorf.de","adendorf.de","http://adendorf.de","","Adendorf","NI","No","dotgov","No","No","No","","","","","","No"
"adlkofen.de","adlkofen.de","https://adlkofen.de","","Adlkofen","BY","No","dotgov","No","Yes","No","","","","","","No"
"adorf-vogtland.de","adorf-vogtland.de","https://adorf-vogtland.de","","Adorf/Vogtl.","SN","No","dotgov","No","Yes","No","","","","","","No"
"aerzen.de","aerzen.de","http://aerzen.de","","Aerzen","NI","No","dotgov","No","No","No","","","","","","No"
"affalterbach.de","affalterbach.de","https://www.affalterbach.de","","Affalterbach","BW","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"affing.de","affing.de","https://affing.de","","Affing","BY","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"affinghausen.de","affinghausen.de","http://affinghausen.de","","Affinghausen","NI","Yes","dotgov","No","No","No","","","","","","No"
"agethorst.de","agethorst.de","https://www.agethorst.de","","Agethorst","SH","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"aglasterhausen.de","aglasterhausen.de","http://www.aglasterhausen.de","","Aglasterhausen","BW","No","dotgov","No","No","No","","","","","","No"
"agrowetter.de","agrowetter.de","https://www.agrowetter.de","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"agrowetter.eu","agrowetter.eu","https://www.agrowetter.eu","","Deutscher Wetterdienst","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ahaus.de","ahaus.de","http://ahaus.de","","Ahaus","NW","Yes","dotgov","No","No","No","","","","","","No"
"ahlden.de","ahlden.de","http://ahlden.de","","Hademstorf","NI","Yes","dotgov","No","No","No","","","","","","No"
"ahlen.de","ahlen.de","https://www.ahlen.de","","Ahlen","NW","No","dotgov","No","Yes","No","","","","","","No"
"ahlerstedt.de","ahlerstedt.de","http://ahlerstedt.de","","Ahlerstedt","NI","Yes","dotgov","No","No","No","","","","","","No"
"ahnatal.de","ahnatal.de","http://ahnatal.de","","Ahnatal","HE","No","dotgov","No","No","No","","","","","","No"
"ahnsbeck.de","ahnsbeck.de","http://ahnsbeck.de","","Ahnsbeck","NI","No","dotgov","No","No","No","","","","","","No"
"aholming.de","aholming.de","http://aholming.de","","Aholming","BY","No","dotgov","No","No","No","","","","","","No"
"ahorn.de","ahorn.de","https://www.ahorn.de","","Ahorn","BY","No","dotgov","No","Yes","No","","","","","","No"
"ahorntal.de","ahorntal.de","http://www.ahorntal.de","","Ahorntal","BY","No","dotgov","No","No","No","","","","","","No"
"ahrensboek.de","ahrensboek.de","http://ahrensboek.de","","Ahrensbök","SH","No","dotgov","No","No","No","","","","","","No"
"ahrensburg.de","ahrensburg.de","https://ahrensburg.de","","Ahrensburg","SH","No","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"ahrensfelde.de","ahrensfelde.de","http://www.ahrensfelde.de","","Ahrensfelde","BB","No","dotgov","No","No","No","","","","","","No"
"ahrenshoeft.de","ahrenshoeft.de","http://ahrenshoeft.de","","Ahrenshöft","SH","No","dotgov","No","No","No","","","","","","No"
"ahrenvioelfeld.de","ahrenvioelfeld.de","http://ahrenvioelfeld.de","","Ahrenviölfeld","SH","No","dotgov","No","No","No","","","","","","No"
"aichach.de","aichach.de","https://aichach.de","","Aichach","BY","No","dotgov","No","Yes","No","","","","","","No"
"aichavormwald.de","aichavormwald.de","https://aichavormwald.de","","Aicha vorm Wald","BY","No","dotgov","Yes","Yes","Yes","","","","","","No"
"aichelberg.de","aichelberg.de","http://aichelberg.de","","Aichelberg","BW","No","dotgov","No","No","No","","","","","","No"
